Source,Target,Type,Id,Label,Weight
23148,23280,Undirected,51371,,1
23148,23306,Undirected,51395,,1
23148,23319,Undirected,51396,,1
23148,23327,Undirected,51420,,1
23148,23328,Undirected,51421,,1
23160,23175,Undirected,51264,,1
23160,23186,Undirected,51265,,1
23160,23226,Undirected,51317,,1
23160,23230,Undirected,51318,,1
23160,23256,Undirected,51357,,1
23160,23280,Undirected,51385,,1
23160,23292,Undirected,51386,,1
23160,23306,Undirected,51406,,1
23160,23319,Undirected,51407,,1
23160,23327,Undirected,51433,,1
23161,23280,Undirected,51387,,1
23161,23291,Undirected,51388,,1
23174,23299,Undirected,51570,,1
23174,23302,Undirected,51571,,1
23175,23186,Undirected,51446,,1
23175,23189,Undirected,51447,,1
23175,23199,Undirected,51448,,1
23175,23212,Undirected,51460,,1
23175,23226,Undirected,51461,,1
23175,23227,Undirected,51462,,1
23175,23230,Undirected,51463,,1
23175,23256,Undirected,51506,,1
23175,23257,Undirected,51507,,1
23175,23264,Undirected,51541,,1
23175,23288,Undirected,51542,,1
23175,23289,Undirected,51543,,1
23175,23296,Undirected,51572,,1
23175,23299,Undirected,51573,,1
23175,23306,Undirected,51574,,1
23175,23327,Undirected,51599,,1
23175,23330,Undirected,51600,,1
23186,23211,Undirected,51471,,1
23186,23226,Undirected,51472,,1
23186,23230,Undirected,51473,,1
23186,23256,Undirected,51516,,1
23186,23264,Undirected,51548,,1
23186,23280,Undirected,51549,,1
23186,23306,Undirected,51586,,1
23186,23319,Undirected,51587,,1
23186,23327,Undirected,51604,,1
23186,23328,Undirected,51605,,1
23199,23226,Undirected,51499,,1
23199,23289,Undirected,51567,,1
23211,23230,Undirected,51633,,1
23211,23256,Undirected,51659,,1
23211,23264,Undirected,51694,,1
23211,23280,Undirected,51695,,1
23211,23328,Undirected,51759,,1
23226,23230,Undirected,51654,,1
23226,23256,Undirected,51684,,1
23226,23257,Undirected,51685,,1
23226,23264,Undirected,51711,,1
23226,23280,Undirected,51712,,1
23226,23306,Undirected,51746,,1
23226,23319,Undirected,51747,,1
23226,23327,Undirected,51776,,1
23226,23328,Undirected,51777,,1
23230,23256,Undirected,51686,,1
23230,23257,Undirected,51687,,1
23230,23264,Undirected,51717,,1
23230,23302,Undirected,51749,,1
23230,23306,Undirected,51750,,1
23230,23319,Undirected,51751,,1
23230,23327,Undirected,51781,,1
23230,23328,Undirected,51782,,1
23249,23280,Undirected,51816,,1
23256,23257,Undirected,51801,,1
23256,23264,Undirected,51820,,1
23256,23288,Undirected,51821,,1
23256,23298,Undirected,51843,,1
23256,23319,Undirected,51844,,1
23256,23327,Undirected,51867,,1
23256,23328,Undirected,51868,,1
23257,23296,Undirected,51845,,1
23257,23299,Undirected,51846,,1
23257,23302,Undirected,51847,,1
23257,23350,Undirected,51869,,1
23264,23288,Undirected,51877,,1
23264,23302,Undirected,51896,,1
23264,23306,Undirected,51897,,1
23264,23319,Undirected,51898,,1
23264,23327,Undirected,51937,,1
23264,23328,Undirected,51938,,1
23268,23288,Undirected,51880,,1
23268,23289,Undirected,51881,,1
23268,23302,Undirected,51901,,1
23277,23306,Undirected,51906,,1
23277,23310,Undirected,51907,,1
23280,23328,Undirected,51942,,1
23288,23289,Undirected,51895,,1
23288,23295,Undirected,51926,,1
23288,23298,Undirected,51927,,1
23288,23299,Undirected,51928,,1
23288,23310,Undirected,51929,,1
23288,23325,Undirected,51959,,1
23289,23310,Undirected,51930,,1
23289,23325,Undirected,51960,,1
23289,23330,Undirected,51961,,1
23289,23340,Undirected,51962,,1
23292,23328,Undirected,51966,,1
23297,23299,Undirected,51971,,1
23297,23306,Undirected,51972,,1
23297,23313,Undirected,51973,,1
23299,23302,Undirected,51974,,1
23299,23325,Undirected,51986,,1
23302,23306,Undirected,51976,,1
23302,23328,Undirected,51990,,1
23306,23327,Undirected,51992,,1
23319,23327,Undirected,52012,,1
23319,23328,Undirected,52013,,1
23327,23328,Undirected,52026,,1
22979,23045,Undirected,48590,,1
22979,23224,Undirected,48857,,1
23044,23123,Undirected,50041,,1
23044,23137,Undirected,50042,,1
23044,23150,Undirected,50095,,1
23044,23173,Undirected,50096,,1
23044,23179,Undirected,50134,,1
23044,23196,Undirected,50135,,1
23044,23202,Undirected,50136,,1
23044,23203,Undirected,50137,,1
23044,23222,Undirected,50206,,1
23044,23241,Undirected,50261,,1
23044,23250,Undirected,50262,,1
23044,23255,Undirected,50263,,1
23044,23258,Undirected,50264,,1
23044,23259,Undirected,50265,,1
23044,23279,Undirected,50314,,1
23044,23287,Undirected,50315,,1
23044,23321,Undirected,50366,,1
23044,23333,Undirected,50392,,1
23044,23344,Undirected,50393,,1
23045,23046,Undirected,49859,,1
23045,23047,Undirected,49860,,1
23045,23048,Undirected,49861,,1
23045,23064,Undirected,49934,,1
23045,23132,Undirected,50043,,1
23045,23179,Undirected,50138,,1
23045,23202,Undirected,50139,,1
23045,23203,Undirected,50140,,1
23045,23208,Undirected,50207,,1
23045,23215,Undirected,50208,,1
23045,23236,Undirected,50266,,1
23045,23258,Undirected,50267,,1
23045,23279,Undirected,50316,,1
23045,23321,Undirected,50367,,1
23045,23333,Undirected,50394,,1
23045,23344,Undirected,50395,,1
23046,23132,Undirected,50044,,1
23046,23179,Undirected,50141,,1
23046,23202,Undirected,50142,,1
23046,23203,Undirected,50143,,1
23046,23208,Undirected,50209,,1
23046,23220,Undirected,50210,,1
